2025-06-26 15:27:53 error: An error occurred: Sem sessão ativa
2025-06-26 15:27:57 error: An error occurred: Usuário não encontrado
2025-06-26 17:11:45 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:17 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:18 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:19 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:21 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:22 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:50 error: An error occurred: CPF já cadastrado
2025-06-26 17:16:58 error: An error occurred: CPF já cadastrado
2025-06-26 17:18:58 error: An error occurred: Sessão não encontrada
2025-06-26 17:19:01 error: An error occurred: Sessão não encontrada
2025-06-26 17:19:11 error: An error occurred: Usuário não encontrado
2025-06-26 17:20:24 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:25 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:26 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:27 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:42 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:43 error: An error occurred: CPF já cadastrado
2025-06-26 17:20:44 error: An error occurred: CPF já cadastrado
2025-06-26 17:29:13 error: An error occurred: CPF já cadastrado
